類型(Types),先備關係(Prerequisite),名稱(Name)
先備關係(Prerequisite),認識一億以內的數及數詞序列,認識一兆以內的數
先備關係(Prerequisite),公斤和公克的關係和換算,公噸和公斤的換算
先備關係(Prerequisite),平方公尺與平方公分的換算,公畝與平方公尺的換算
先備關係(Prerequisite),公畝與平方公尺的換算,公頃與公畝、平方公尺的換算
先備關係(Prerequisite),公頃與公畝、平方公尺的換算,平方公里與公頃、公畝、平方公尺的換算
先備關係(Prerequisite),"整數除以整數，商為小數
用分數表示整數相除的結果",分數換小數
先備關係(Prerequisite),"認識三位小數
約分",小數換分數
先備關係(Prerequisite),"時間單位換算（二階單位）
二位數乘以二位數",分和秒的乘法
先備關係(Prerequisite),"時間單位換算（二階單位）
二位數乘以二位數",日和時的乘法
先備關係(Prerequisite),"時間單位換算（二階單位）
一、二位數÷一位數，商為一位數(有餘數)",分和秒的除法
先備關係(Prerequisite),立體形體的分類,分辨柱體和錐體
先備關係(Prerequisite),立體形體的分類,分辨角柱和圓柱
先備關係(Prerequisite),立體形體的分類,分辨角錐和圓錐
先備關係(Prerequisite),圓柱的各部位名稱,圓柱的構成要素
先備關係(Prerequisite),圓錐的各部位名稱,圓錐的構成要素
先備關係(Prerequisite),分辨角柱和圓柱,柱體的命名
先備關係(Prerequisite),"正方體的展開圖
認識正方形面積公式",正方體的表面積
先備關係(Prerequisite),正方體和長方體的構成要素,認識立體的邊、面和頂點
先備關係(Prerequisite),初步認識長方體和正方體的構成要素,正方體和長方體的構成要素
先備關係(Prerequisite),角錐的各部位名稱,角錐的構成要素
先備關係(Prerequisite),角錐的構成要素,認識正四面體
先備關係(Prerequisite),"長方體的表面積
正方體的表面積",複合形體的表面積
先備關係(Prerequisite),長方體和正方體面和面的關係,角錐面和面的關係
先備關係(Prerequisite),"用分數表示整數相除的結果
分數換小數",認識比率
先備關係(Prerequisite),認識比率,認識百分率（如：投資報酬率、銀行存款利率）
先備關係(Prerequisite),認識百分率（如：投資報酬率、銀行存款利率）,分數和百分率的轉換
先備關係(Prerequisite),認識百分率（如：投資報酬率、銀行存款利率）,小數和百分率的轉換
先備關係(Prerequisite),認識百分率（如：投資報酬率、銀行存款利率）,百分率的應用（如：加成、打折、濃度問題）
先備關係(Prerequisite),"時間單位換算（二階單位）
四位數除以三位數",時間除以時間
先備關係(Prerequisite),認識及報讀折線圖,報讀複雜折線圖
先備關係(Prerequisite),報讀複雜長條圖（資料圖左右疊）,報讀複雜長條圖（資料圖上下疊）
先備關係(Prerequisite),認識對稱點、對稱邊和對稱角,繪製或製作線對稱圖形
先備關係(Prerequisite),認識全等圖形及對應角、對應邊、對應點,認識線對稱圖形和對稱軸
先備關係(Prerequisite),認識及報讀折線圖,繪製折線圖
先備關係(Prerequisite),繪製長條圖,繪製複雜長條圖
先備關係(Prerequisite),時間單位換算（二階單位）,時間單位換算（分數和小數）
先備關係(Prerequisite),以文字表示數學公式,以符號表示數學公式
先備關係(Prerequisite),因數,質數和合數
先備關係(Prerequisite),質數和合數,質因數
先備關係(Prerequisite),質因數,質因數分解
先備關係(Prerequisite),因數,互質
先備關係(Prerequisite),"質因數分解
認識最大公因數",用短除法求最大公因數
先備關係(Prerequisite),"質因數分解
認識最小公倍數",用短除法求最小公倍數
先備關係(Prerequisite),"約分
互質",最簡分數
先備關係(Prerequisite),整數除以分數,分數除以分數（異分母分數）
先備關係(Prerequisite),"分數除以分數（同分母分數）
知道N分之N等於1",整數除以分數
先備關係(Prerequisite),分數除以分數（異分母分數）,利用分數除法求全量或單位量（由題意決定）
先備關係(Prerequisite),分數除以整數,分數除以分數（同分母分數）
先備關係(Prerequisite),分數除以分數（異分母分數）,分數除法中，被除數、除數和商的關係
先備關係(Prerequisite),小數除以一位小數（無餘數）,小數除以二位以上小數（無餘數）
先備關係(Prerequisite),整數除以整數，商為小數,整數除以一位小數（無餘數）
先備關係(Prerequisite),整數除以一位小數（無餘數）,整數除以二位以上小數（無餘數）
先備關係(Prerequisite),整數除以一位小數（無餘數）,小數除以一位小數（無餘數）
先備關係(Prerequisite),在二維表格上找到數的規律,解決較複雜的規律模式(植樹問題、座位問題、火柴棒問題…)
先備關係(Prerequisite),以符號表示數學公式,差不變
先備關係(Prerequisite),小數除以二位以上小數（無餘數）,小數除法中，被除數、除數和商的關係
先備關係(Prerequisite),無,較複雜的計數(加法原理)
先備關係(Prerequisite),以符號表示數學公式,商不變
先備關係(Prerequisite),小數除以二位以上小數（無餘數）,小數除法概算（先算再取概數）
先備關係(Prerequisite),以符號表示數學公式,積不變
先備關係(Prerequisite),最簡單整數比,比的應用
先備關係(Prerequisite),"相等的比
最簡分數",最簡單整數比
先備關係(Prerequisite),認識比率,比值
先備關係(Prerequisite),小數除以二位以上小數（無餘數）,利用小數除法求全量或單位量（由題意決定）
先備關係(Prerequisite),認識比率,比
先備關係(Prerequisite),扇形弧長,扇形周長
先備關係(Prerequisite),"認識圓周率及圓周長公式
幾分之幾圓的扇形",扇形弧長
先備關係(Prerequisite),比值,相等的比
先備關係(Prerequisite),比的應用,正比的應用（比例式）
先備關係(Prerequisite),認識基準量、比較量和比值，及求比值,求基準量
先備關係(Prerequisite),認識基準量、比較量和比值，及求比值,求比較量
先備關係(Prerequisite),扇形的面積計算,利用扇形周長（圓周長）求面積
先備關係(Prerequisite),"認識圓面積公式
幾分之幾圓的扇形",扇形的面積計算
先備關係(Prerequisite),求比較量,兩量的和（母子和）
先備關係(Prerequisite),求比較量,兩量的差（母子差）
先備關係(Prerequisite),認識圓周率及圓周長公式,由圓周長求直徑和半徑
先備關係(Prerequisite),扇形的面積計算,扇形的複合圖形面積
先備關係(Prerequisite),認識比率,認識基準量、比較量和比值，及求比值
先備關係(Prerequisite),兩量的差（母子差）,由兩量差（母子差）求基準量
先備關係(Prerequisite),"認識圓心、圓周、半徑、直徑
測量整公分的長度（基本型）",認識及測量直徑和圓周長
先備關係(Prerequisite),"整數除以整數，商為小數
比值
認識及測量直徑和圓周長",認識圓周率
先備關係(Prerequisite),整數乘以二位以上小數,認識圓面積公式
先備關係(Prerequisite),認識速率,速率的換算
先備關係(Prerequisite),"認識速率
比值",時間、速率和距離的關係
先備關係(Prerequisite),時間單位換算（分數和小數）,認識速率
先備關係(Prerequisite),認識速率,速率的快慢比較
先備關係(Prerequisite),認識速率,速率的應用
先備關係(Prerequisite),認識圓面積公式,與圓相關的複合圖形的周長
先備關係(Prerequisite),認識全等圖形及對應角、對應邊、對應點,認識縮圖和放大圖
先備關係(Prerequisite),"認識縮圖和放大圖
比的應用",認識比例尺
先備關係(Prerequisite),解決連乘兩步驟問題（不併式）,較複雜的計數(乘法原理)
先備關係(Prerequisite),"較複雜的計數(加法原理)
較複雜的計數(乘法原理)",較複雜的計數(混合型)
先備關係(Prerequisite),由兩量差（母子差）求基準量,年齡問題
先備關係(Prerequisite),以符號表示數學公式,和不變
先備關係(Prerequisite),平均問題,和差問題
先備關係(Prerequisite),認識縮圖和放大圖,認識相似圖形的對應點、對應角和對應邊
先備關係(Prerequisite),認識比例尺,相似圖形的縮放率與面積的倍率關係
先備關係(Prerequisite),"解決連減多步驟問題
異分母分數的減法",解決分數的連減
先備關係(Prerequisite),"解決小數的四則混合
認識有括號的先算",解決小數「有括號」的四則混合
先備關係(Prerequisite),"先乘後除與先除後乘的結果相同
小數乘以小數
小數除以二位以上小數（無餘數）",解決小數的乘除混合
先備關係(Prerequisite),"先加再減與先減再加的結果相同
三位小數加法
三位小數減法",解決小數的加減混合
先備關係(Prerequisite),"解決小數的加減混合
解決小數的乘除混合
認識先乘除後加減的計算",解決小數的四則混合
先備關係(Prerequisite),"解決連乘多步驟問題
小數乘以小數",解決小數的連乘
先備關係(Prerequisite),"解決連加多步驟問題
三位小數加法",解決小數的連加
先備關係(Prerequisite),"解決連減多步驟問題
三位小數減法",解決小數的連減
先備關係(Prerequisite),"解決連除多步驟問題
小數除以二位以上小數（無餘數）",解決小數的連除
先備關係(Prerequisite),"解決分數的四則混合
認識有括號的先算",解決分數「有括號」的四則混合
先備關係(Prerequisite),"先乘後除與先除後乘的結果相同
分數乘以分數
分數除以分數（異分母分數）",解決分數的乘除混合
先備關係(Prerequisite),"解決連乘多步驟問題
分數乘以分數",解決分數的連乘
先備關係(Prerequisite),"解決連加多步驟問題
異分母分數的加法",解決分數的連加
先備關係(Prerequisite),"解決連除多步驟問題
分數除以分數（異分母分數）",解決分數的連除
先備關係(Prerequisite),"解決小數「有括號」的四則混合
解決分數「有括號」的四則混合",解決分數和小數的四則混合
先備關係(Prerequisite),解決分數和小數的四則混合,利用約分和巧算解決分數和小數的四則混合
先備關係(Prerequisite),"先加再減與先減再加的結果相同
異分母分數的加法
異分母分數的減法",解決分數的加減混合
先備關係(Prerequisite),"解決分數的加減混合
解決分數的乘除混合
認識先乘除後加減的計算",解決分數的四則混合
先備關係(Prerequisite),長方體的體積公式,柱體的體積公式
先備關係(Prerequisite),認識圓周率,認識圓周率及圓周長公式
先備關係(Prerequisite),利用切割、重組再點數或計算面積,估算曲線邊的圖形面積
先備關係(Prerequisite),"柱體的體積公式
認識三角形面積公式
認識梯形面積公式
認識平行四邊形公式
扇形的面積計算",有圓柱、三角柱等複合形體體積的計算
先備關係(Prerequisite),有圓柱、三角柱等複合形體體積的計算,中空柱體或中空容器的體積計算
先備關係(Prerequisite),認識圓面積公式,圓面積的應用
先備關係(Prerequisite),扇形弧長,圓心角和扇形弧長的關係
先備關係(Prerequisite),扇形的面積計算,圓心角和扇形面積的關係
先備關係(Prerequisite),"圓柱的展開圖
認識圓面積公式",圓柱的表面積
先備關係(Prerequisite),"角柱的展開圖
認識三角形面積公式
認識梯形面積公式
認識平行四邊形公式",角柱的表面積
先備關係(Prerequisite),認識速率,流水問題
先備關係(Prerequisite),追趕問題（在速率情境下）,追趕問題（非速度情境下）
先備關係(Prerequisite),認識圓心角,認識及報讀圓形圖
先備關係(Prerequisite),"認識及報讀圓形圖
認識百分率（如：投資報酬率、銀行存款利率）",認識及報讀百分數圓形圖
先備關係(Prerequisite),認識縮圖和放大圖,繪製縮圖和放大圖
先備關係(Prerequisite),認識百分率（如：投資報酬率、銀行存款利率）,透過圖表判斷事情發生的可能性
先備關係(Prerequisite),兩量的和（母子和）,由兩量和（母子和）求基準量
先備關係(Prerequisite),認識速率,平均速率
先備關係(Prerequisite),規律問題（數）,雞兔問題
先備關係(Prerequisite),平均問題,平均的應用問題
先備關係(Prerequisite),繪製扇形,繪製圓形圖
先備關係(Prerequisite),繪製圓形圖,繪製百分數圓形圖
先備關係(Prerequisite),"繪製圓形圖
繪製複雜長條圖
繪製長條圖",判斷統計圖的使用時機
,,
,,
,,
,,
,,
