類型(Types),先備關係(Prerequisite),名稱(Name)
先備關係(Prerequisite),"一位數加二位數（進位，和在50以內）
一位數加二位數（不進位，和在100以內）",一位數加二位數（進位，和在200以內）
先備關係(Prerequisite),二位數加二位數（不進位，和在50以內）,二位數加二位數（不進位，和在100以內）
先備關係(Prerequisite),300以內的兩數大小比較,認識＞、＜和＝
先備關係(Prerequisite),"二位數加二位數（二次進位，和在200以內）
二位數減二位數（退位，被減數在99以內）",判斷加減法時機（一、二次進位或一次退位）
先備關係(Prerequisite),二位數加二位數（不進位，和在100以內）,二位數加法估算
先備關係(Prerequisite),長度的個別單位複製,不同個別單位測量同物品長度，個別單位越長，其數量越少
先備關係(Prerequisite),長度的個別單位複製,認識1公分及幾個1公分就是幾公分
先備關係(Prerequisite),測量整公分的長度（基本型）,測量接近整公分的長度
先備關係(Prerequisite),認識1公分及幾個1公分就是幾公分,測量整公分的長度（基本型）
先備關係(Prerequisite),"測量整公分的長度（基本型）
公分的減法",測量整公分的長度（斷尺型）
先備關係(Prerequisite),公分的加法,測量整公分的長度（超過尺的長度）
先備關係(Prerequisite),認識1公分及幾個1公分就是幾公分,長度在1公分以上的估測
先備關係(Prerequisite),"認識1公分及幾個1公分就是幾公分
熟練18以內的加法心算（心算卡）",公分的加法
先備關係(Prerequisite),"認識1公分及幾個1公分就是幾公分
熟練18以內的減法心算（心算卡）",公分的減法
先備關係(Prerequisite),測量整公分的長度（基本型）,繪製指定公分的長度（基本型）
先備關係(Prerequisite),測量整公分的長度（斷尺型）,繪製指定公分的長度（斷尺型）
先備關係(Prerequisite),二位數減一位數（不退位，被減數在50以內）,二位數減一位數（不退位，被減數在99以內）
先備關係(Prerequisite),"二位數減一位數（不退位，被減數在99以內）
熟練18以內的加法心算（心算卡）",二位數減一位數（退位，被減數在99以內）
先備關係(Prerequisite),"二位數減二位數（不退位，被減數在50以內）
二位數減一位數（不退位，被減數在99以內）",二位數減二位數（不退位，被減數在99以內）
先備關係(Prerequisite),二位數減一位數（退位，被減數在99以內）,二位數減二位數（退位，被減數在99以內）
先備關係(Prerequisite),理解加減互逆關係及應用,二位數減法的驗算
先備關係(Prerequisite),初步認識加減互逆關係,理解加減互逆關係及應用
先備關係(Prerequisite),理解加減互逆關係及應用,用線段圖輔助學生理解應用問題
先備關係(Prerequisite),用線段圖輔助學生理解應用問題,被加數未知
先備關係(Prerequisite),用線段圖輔助學生理解應用問題,加數未知
先備關係(Prerequisite),用線段圖輔助學生理解應用問題,被減數未知
先備關係(Prerequisite),用線段圖輔助學生理解應用問題,減數未知
先備關係(Prerequisite),用線段圖輔助學生理解應用問題,A比B少，就是B比A多
先備關係(Prerequisite),二位數減二位數（不退位，被減數在99以內）,二位數減法估算
先備關係(Prerequisite),無,認識容器
先備關係(Prerequisite),認識容器,認識容量
先備關係(Prerequisite),容量的直觀比較,容量的直接比較
先備關係(Prerequisite),認識容量,容量的直觀比較
先備關係(Prerequisite),容量的直接比較,容量的間接比較
先備關係(Prerequisite),液量的直接比較,液量的保留性
先備關係(Prerequisite),容量的直接比較,液量的直接比較
先備關係(Prerequisite),三位數加法(進位，但不進到千位),解決連加兩步驟問題（不併式）
先備關係(Prerequisite),一位數加一位數（進位）,2的乘法及應用
先備關係(Prerequisite),無,認識乘法（認識被乘數、乘數和積）
先備關係(Prerequisite),三位數減法(一次退位),解決連減兩步驟問題（不併式）
先備關係(Prerequisite),一位數加一位數（進位）,5的乘法及應用
先備關係(Prerequisite),"解決連加兩步驟問題（不併式）
解決連減兩步驟問題（不併式）",解決加減混合兩步驟問題（不併式）
先備關係(Prerequisite),一位數加一位數（進位）,4的乘法及應用
先備關係(Prerequisite),一位數加一位數（進位）,8的乘法及應用
先備關係(Prerequisite),一位數加一位數（進位）,一位數的連加
先備關係(Prerequisite),"2的乘法及應用
4的乘法及應用
5的乘法及應用
8的乘法及應用",2、5、4、8的乘法綜合應用問題
先備關係(Prerequisite),認識鐘面（含長針、短針）,報讀幾點幾分
先備關係(Prerequisite),"報讀幾點幾分
認識整點鐘",大約幾點鐘
先備關係(Prerequisite),"報讀幾點幾分
5的乘法及應用",報讀幾點幾分（5分鐘一數）
先備關係(Prerequisite),"報讀幾點幾分（5分鐘一數）
解決乘加兩步驟問題（不併式）",報讀幾點幾分（1分鐘一數）
先備關係(Prerequisite),點數經過的1小時時間（整點鐘）,點數經過的N小時時間（整點鐘）
先備關係(Prerequisite),點數經過的1小時時間（幾時幾分）,點數經過的N小時時間（幾時幾分）
先備關係(Prerequisite),幾小時之前，幾小時之後（整點或半點）,點數經過的1小時時間（整點鐘）
先備關係(Prerequisite),點數經過的1小時時間（整點鐘）,點數經過的1小時時間（幾時幾分）
先備關係(Prerequisite),點數經過的1小時時間（整點鐘）,點數經過的半小時時間（整點鐘）
先備關係(Prerequisite),點數經過的1小時時間（幾時幾分）,點數經過的半小時時間（幾時幾分）
先備關係(Prerequisite),認識分針、時針,認識鐘面上的1大格和1小格
先備關係(Prerequisite),認識鐘面（含長針、短針）,認識分針、時針
先備關係(Prerequisite),一位數加一位數（進位）,3的乘法及應用
先備關係(Prerequisite),報讀幾點幾分,認識數字鐘（幾時幾分）
先備關係(Prerequisite),一位數加一位數（進位）,6的乘法及應用
