Types,Prerequisite,Target
Prerequisite,和的平方公式,利用和的平方公式因式分解
Prerequisite,差的平方公式,利用差的平方公式因式分解
Prerequisite,平方差公式,利用平方差公式因式分解
Prerequisite,無,利用十字交乘法因式分解-二次項係數為1
Prerequisite,無,利用十字交乘法因式分解-二次項係數不為1
Prerequisite,因式分解,因式分解的應用
Prerequisite,一元一次方程式的意義,一元二次方程式的意義
Prerequisite,檢驗一元一次方程式的解,檢驗一元二次方程式的解
Prerequisite,利用提公因式法因式分解,利用提公因式法解一元二次方程式
Prerequisite,和的平方公式,利用和的平方公式解一元二次方程式
Prerequisite,差的平方公式,利用差的平方公式解一元二次方程式
Prerequisite,平方差公式,利用平方差公式解一元二次方程式
Prerequisite,利用十字交乘法因式分解-二次項係數為1,利用十字交乘法解一元二次方程式-二次項係數為1
Prerequisite,利用十字交乘法因式分解-二次項係數不為1,利用十字交乘法解一元二次方程式-二次項係數不為1
Prerequisite,平方根的意義,利用平方根法解一元二次方程式
Prerequisite,利用平方根法解一元二次方程式,二次項係數為1的配方法
Prerequisite,利用平方根法解一元二次方程式,二次項係數不為1的配方法
Prerequisite,無,判別式與解的情形
Prerequisite,利用配方法解一元二次方程式,公式解
Prerequisite,"一元二次方程式的意義
解一元二次方程式",一元二次方程式的應用問題
Prerequisite,數線,讀點坐標
Prerequisite,數線,畫點坐標
Prerequisite,數線,象限(含橫坐標與縱坐標)
Prerequisite,無,x=n的圖形
Prerequisite,無,y=m的圖形
Prerequisite,無,ax＋by=c的圖形
Prerequisite,利用移項法則解一元一次方程式(含驗算),已知一點，求二元一次方程式
Prerequisite,解二元一次聯立方程式,已知兩點，求二元一次方程式
Prerequisite,ax＋by=c的圖形,兩直線相交於一點
Prerequisite,數線上兩點的距離,坐標平面上兩點的距離(同x坐標或y坐標)
Prerequisite,無,判斷函數關係
Prerequisite,"整數的四則運算
數的四則運算(含小數)
根式的四則運算",求函數值
Prerequisite,無,一次函數的意義
Prerequisite,已知兩點，求二元一次方程式,求一次函數
Prerequisite,求一次函數,一次函數的應用
Prerequisite,無,常數函數的定義
Prerequisite,y=m的圖形,求常數函數
Prerequisite,求常數函數,常數函數的應用
Prerequisite,ax＋by=c的圖形,畫一次函數的圖形
Prerequisite,y=m的圖形,畫常數函數的圖形
Prerequisite,"一次函數的應用
常數函數的應用",由線型函數圖形求出函數關係式或函數值
Prerequisite,"一次函數的應用
常數函數的應用",線型函數的應用
Prerequisite,一次函數的意義,二次函數的意義
Prerequisite,畫一次函數的圖形,認識二次函數圖形
Prerequisite,畫一次函數的圖形,畫二次函數圖形-y=ax^2
Prerequisite,畫一次函數的圖形,畫二次函數圖形-y=ax^2+k
Prerequisite,畫一次函數的圖形,畫二次函數圖形-y=a(x-h)^2
Prerequisite,畫一次函數的圖形,畫二次函數圖形-y=a(x-h)^2+k
Prerequisite,認識二次函數圖形,二次函數圖形的對稱軸
Prerequisite,認識二次函數圖形,二次函數圖形開口方向
Prerequisite,認識二次函數圖形,二次函數圖形開口大小
Prerequisite,認識二次函數圖形,二次函數圖形最高點與最低點
Prerequisite,認識二次函數圖形,二次函數圖形的上下平移
Prerequisite,認識二次函數圖形,二次函數圖形的左右平移
Prerequisite,無,二次函數圖形的平移
Prerequisite,檢驗二元一次方程式的解,求二次函數
Prerequisite,認識二次函數圖形,二次函數的最大值或最小值與頂點關係
Prerequisite,解一元二次方程式,二次函數圖形與x軸的交點個數
Prerequisite,解一元二次方程式,二次函數圖形與y軸的交點
Prerequisite,二次函數圖形   ,二次函數圖形的應用
Prerequisite,無,點
Prerequisite,無,直線、線段與射線
Prerequisite,無,銳角、直角與鈍角
Prerequisite,無,多邊形的定義
Prerequisite,無,對角線
Prerequisite,無,垂直與平分
Prerequisite,無,中垂線的定義
Prerequisite,無,線對稱圖形的定義
Prerequisite,無,判斷線對稱圖形
Prerequisite,線對稱圖形的定義,摺紙、剪紙的線對稱圖形
Prerequisite,線對稱圖形的定義,畫線對稱圖形-對稱軸為水平、鉛直線
Prerequisite,線對稱圖形的定義,畫線對稱圖形-對稱軸為斜對角線
Prerequisite,無,畫三視圖
Prerequisite,無,判斷視圖方向
Prerequisite,無,已知兩邊長，求第三邊
Prerequisite,根式的乘法,正三角形的高與面積
Prerequisite,利用畢氏定理求邊長,畢氏定理的應用問題
Prerequisite,利用畢氏定理求邊長,坐標平面上兩點的距離
Prerequisite,無,互餘
Prerequisite,無,互補
Prerequisite,無,對頂角相等
Prerequisite,無,角平分線的定義
Prerequisite,無,三角形的內角和
Prerequisite,無,三角形的外角定理
Prerequisite,無,三角形的外角和
Prerequisite,無,對角線
Prerequisite,三角形的內角和,多邊形的內角和
Prerequisite,多邊形的內角和,正多邊形的內角
Prerequisite,三角形的外角和,正多邊形的外角
Prerequisite,無,等線段作圖
Prerequisite,無,等角作圖
Prerequisite,無,中垂線作圖
Prerequisite,無,角平分線作圖
Prerequisite,中垂線作圖,過線上一點作垂線
Prerequisite,中垂線作圖,過線外一點作垂線
Prerequisite,無,對應相等與對應角相等
Prerequisite,全等的意義,SSS全等性質的判別
Prerequisite,SSS全等性質的判別,SSS全等性質的應用
Prerequisite,全等的意義,SAS全等性質的判別
Prerequisite,SAS全等性質的判別,SAS全等性質的應用
Prerequisite,全等的意義,ASA全等性質的判別
Prerequisite,ASA全等性質的判別,ASA全等性質的應用
Prerequisite,全等的意義,AAS全等性質的判別
Prerequisite,AAS全等性質的判別,AAS全等性質的應用
Prerequisite,全等的意義,RHS全等性質的判別
Prerequisite,RHS全等性質的判別,RHS全等性質的應用
Prerequisite,全等的意義,SSA不全等
Prerequisite,全等的意義,SSA不全等
Prerequisite,無,等腰三角形性質
Prerequisite,AAS全等性質,等腰三角形判別性質
Prerequisite,SSS全等性質,直角三角形判別性質
Prerequisite,"中垂線的定義
SAS全等性質",中垂線性質
Prerequisite,SAS全等性質,中垂線判別性質
Prerequisite,中垂線性質,中垂線性質的應用
Prerequisite,"角平分線的定義
AAS全等性質",角平分線性質
Prerequisite,RHS全等性質,角平分線判別性質
Prerequisite,角平分線性質,角平分線性質的應用
Prerequisite,無,由三角形的邊長關係判斷是否為三角形
Prerequisite,由三角形的邊長關係判斷是否為三角形,求三角形的第三邊長範圍
Prerequisite,等腰三角形性質,大邊對大角
Prerequisite,等腰三角形性質,大邊對大角的應用
Prerequisite,等腰三角形性質,大角對大邊
Prerequisite,等腰三角形性質,大角對大邊的應用
Prerequisite,無,平行的定義
Prerequisite,無,平行線的性質
Prerequisite,無,兩平行線的距離
Prerequisite,無,同位角相等
Prerequisite,無,內錯角相等
Prerequisite,無,同側內角互補
Prerequisite,"同位角相等
內錯角相等
同側內角互補",平行線截角性質的運用
Prerequisite,平行線的截角性質,利用平行線的判別性質找平行線
Prerequisite,"平行線的截角性質
等角作圖",利用平行線的判別性質作平行線
