標籤(Label),編號(ID),名稱(Name),學制(Education System),學科(Subject),是否為根結點(IsRoot),主題(Topic),次主題(Unit),概念(Concept),,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,長度的個別單位比較,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,長度的個別單位合成與分解,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,被減數為18以內減一位數差為一位數（退位）,國小(Elementary school),數學(Math),,計算,x,18以內的減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,10幾減一位數，差為10,國小(Elementary school),數學(Math),,計算,x,18以內的減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,判斷加減法時機（18以內）,國小(Elementary school),數學(Math),,計算,x,18以內的減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,透過被減數固定，解決相鄰算式的問題,國小(Elementary school),數學(Math),,計算,x,18以內的減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,透過減數固定，解決相鄰算式的問題,國小(Elementary school),數學(Math),,計算,x,18以內的減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,熟練18以內的減法心算（心算卡）,國小(Elementary school),數學(Math),,計算,x,18以內的減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,描繪、仿製平面圖形,國小(Elementary school),數學(Math),,形,x,平面圖形,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,描繪、仿製立體的平面,國小(Elementary school),數學(Math),,形,x,平面圖形,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,拼圖,國小(Elementary school),數學(Math),,形,x,平面圖形,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,透過操作或觀察找出一樣大小形狀的圖形,國小(Elementary school),數學(Math),,形,x,平面圖形,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,複製長度,國小(Elementary school),數學(Math),,量,x,比長短,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,做平面圖形的平移、翻轉、重疊、比對…全等的活動,國小(Elementary school),數學(Math),,形,x,平面圖形,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,將平面圖形拼湊出圖案,國小(Elementary school),數學(Math),,形,x,平面圖形,,,,,,,,,,,,,,,,,
